variable_name,description,datatype,Digest (variable_name|source_file|source_directory),survey_name,survey_version,label,required,value_constraints,Channel,seeAlso,question_id,units,unique,CDE,form_name,Concept,Comment,section_header,ui,field_note,pattern,min,max,branching_logic,Custom Alignment,Matrix Group Name,CDE Reference,Value Set,Dependent Fields,source_file,source_directory,categories,related_group,matches
covid_test_result_raw,,,aa9f297d898b3c2229bb47e23513508c90f8fb8f35d298d023cb7e75644e7868ea4f723cf63ef4d0b4ecd171f400b08c9c345f7cf1e64f3f0b78b78bf0fe569f,,,Raw test result (if not a Positive/Negative/Failed report),,,,,,,,,,,,Covid Testing,text,,,,,,,,RADx-UP Testing Core,,,RADxrad_COVID_Testing_Data_Elements_v000.xlsx [RADxrad_COVID_Testing_Data_Elem].csv,RADx-rad,"negative,raw test result,positive,report",group0,"cdab97,0.85"
covid_test_result_raw,From RADx-UP Testing Core,,99507d8a506d7edbd6dd5f227c5c132f931b6aaada4634bfee1c9abac3a160603912dcc2408dcdf6da21ace814f5ea5bf4f47f892ef1151bc099cf2a0dcdab97,,,Raw test result (if not a Positive/Negative/Failed report),,,,,,,,,covid_test,,,Accessibility to testing,text,,,,,,,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,"radx,test core,negative,raw test result,report,positive",group0,"fe569f,0.85"
30144-flu_result,Last 30 Days FLU Tested Results,categorical,0833cea70599452dd07979b2e8fff8e4251ab2c7879df5befc3f3bd5e9e65893fc64a462584a3cd30f37710718d01ab5fc18182e042362b818c4d7d22c108239,,,"In the past 30 days, have you been tested for the flu, and if so, what was the result of your most recent test?",true,"1, No, I have not been tested; 2, Yes, and I tested positive; 3, Yes, and I tested negative; 4, Yes, and my results were inconclusive; 5, Yes, and my results are still pending; 999, Prefer not to answer",,,,,,,Symptom Screening,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"day flu,recent test,flu,result,day",group1,"344556,0.71"
covid_tested_30,,,9b759f70208460ac44ccd0f0d08330f855beb8a3555f79f59b3dcb072ce086a1aac427084c05079979b0acef210524e5445fdc1439668156c512a9dec3344556,,,Have you been tested for COVID-19 in the last 30 days?,,"1, Yes | 0, No | 98, Don't know | 99, Prefer not to answer",,,,,,,tier2_testing,,,Tier 2 Covid,radio,,,,,,RV,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,day,group1,"108239,0.71;817feb,0.72;a0ed7a,0.71"
30132-covid_tested30,"Last 30 days, COVID Tested Status",categorical,781adc5910d38ba1bba85736542767b08280b8f28807d39997b639c74748b7f8c84f1eb9504e9d06ec5f79ed21cd8a7971b7b96ede3e75902565605e50817feb,,,"In the past 30 days (outside of this research study) have you been tested for the coronavirus, and if so, what was the result of your most recent test?",true,"1, No, I have not been tested; 2, Yes, and I tested positive; 3, Yes, and I tested negative; 4, Yes, and my results were inconclusive; 5, Yes, and my results are still pending; 999, Prefer not to answer",,,,,,,Symptom Screening,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"recent test,status,covid,coronavirus,research study,result,day",group1,"344556,0.72"
29792-consent_covid+,COVID related testing eligibility,categorical,cea4b08da8d9ee990c67ac81910c6988e0d7f78e891ae5c924239bd5603c89912eb2d4ea1524f05b402094269ad87cf8f56e6b5a9682fabb39fde0eebca0ed7a,,,Have you tested Positive for COVID-19 in the last 30 days?,true,"1, Yes; 2, No",,,,,,,Consent,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"testing eligibility,covid,positive,day",group1,"344556,0.71"
smoker_number,PX30604 |https://www.phenxtoolkit.org/protocols/view/30604|to https://www.cdc.gov/brfss/questionnaires/pdf-ques/2019-BRFSS-Questionnaire-508.pdf C09.01,,a70c3e1dd00d6986be916f03e7f524b66b1d77002c82058b5bf6f7026590566337af46002d5988748fb77bc0c83cc8314aa742cdfa3f9e3367798e92d36a9b85,,,"If you smoke every day, on average, how many cigarettes per day do you smoke? ",,,,,,,,,alcohol_and_tobacco,,,Alcohol and Tobacco/Nicotine Use,text,,number,1,80,[smoker_cur_stat] ='4' ,,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,"protocol,cigarette,day",group2,"2e6537,0.96;599470,0.82;ae86ea,0.79;0715a8,0.75;edeeed,0.93"
n_cig,Smoking per day,text,73dd5d785a359c0c2508a3e27040d7dd96e32413f36284e6a2d88c3e51e7a324d8f1f9298af77f86a20e15a4bc55e91a116da4d6458eb4cf710ffb94722e6537,,,"If you smoke every day, on average, how many cigarettes per day do you smoke? ",,,,,,,,,,,,,,,,,,,,,,,,Demographics_and_Clinical.csv,RADx-DHT,"cigarette,day",group2,"6a9b85,0.96"
smoker_cur_stat,PX30604 |https://www.phenxtoolkit.org/protocols/view/30604|to https://www.cdc.gov/brfss/questionnaires/pdf-ques/2019-BRFSS-Questionnaire-508.pdf C09.01,,c54f01a12a4ae1d83027a1836185fc949b84acc2eb55b0998a8e12650dce90464f2c787a28eafa2e9012ca9a5e7edd8871b4347d0773804b074a11af604f2f02,,,Do you now smoke cigarettes?,,"4, Every Day |3, Some Days | 1, Not at all | 98, Prefer not to answer | 99, Don't know",,,,,,,alcohol_and_tobacco,,,Alcohol and Tobacco/Nicotine Use,radio,,,,,,,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,"protocol,cigarette",group2,"a94673,0.71;7ab81c,0.88;8b1cbc,0.75"
cig_day,,float,438de13fbc943b1e5537f93cd99aed29b426c9734f70f9e67f003e4ee138c8d9883d783f509eb7f7741c650cc267df066a602352dbfa6b81cc0e213dcf599470,Your Smoking History,3,"On average, how many cigarettes per day have you smoked in the past 30 days (use 1 if less than one)",false,,,,,,,,,,,,,,,,,,,,,,,survey_data_dictionary_origcopy.csv - Your Smoking History.csv,RADx-DHT,"cigarette,day",group2,"6a9b85,0.82"
