variable_name,description,datatype,Digest (variable_name|source_file|source_directory),survey_name,survey_version,label,required,value_constraints,Channel,seeAlso,question_id,units,unique,CDE,form_name,Concept,Comment,section_header,ui,field_note,pattern,min,max,branching_logic,Custom Alignment,Matrix Group Name,CDE Reference,Value Set,Dependent Fields,source_file,source_directory,categories
29789-consent_18yrs,Eligibility age of 18 or older,categorical,6c246555bf0dd517bf4db0703e8e04a13be47fdb319906b5ed3d2b65480e8369944abb6e8538cd00fd40835a177a90255b3a4313acc72471288b6e5e3edbf691,,,How old are you?,true,"1, I am 18 or older; 2, I am under the age of 18",,,,,,,Consent,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,eligibility age
29790-consent_applies,COVID related eligibility,categorical,cdbee608a44b192fa7cc1dfe5155c8c59d067094a84d9569436ce8752545ea7a28f14f220256de47326dadeaa403e10979665a11a56a525ffbc4860ca73e1fd6,,,Which of the following statements below best applies to you?,true,"1, I know I have recently been exposed to COVID-19 (in the last 14 days) or I am COVID Positive; 2, I have COVID-19 symptoms (things like sore throat, fever, cough, loss of smell or taste) or I am COVID Positive; 3, I have not been exposed to COVID-19 and I do not have any COVID-19 symptoms; 4, None of these descriptions apply to me",,,,,,,Consent,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"statement,covid,related eligibility"
29791-consent_english,English eligibility,categorical,40596d4dfa52599606f911744ffc458394af07a90dddf3ebd78aa6a0f8692d37ee724fca0482d78c0c395949c837db23e69e17401fe267bef72e04f27bd70d58,,,Are you able to provide written consent in English?,true,"1, Yes; 2, No",,,,,,,Consent,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"english eligibility,consent,english"
29792-consent_covid+,COVID related testing eligibility,categorical,cea4b08da8d9ee990c67ac81910c6988e0d7f78e891ae5c924239bd5603c89912eb2d4ea1524f05b402094269ad87cf8f56e6b5a9682fabb39fde0eebca0ed7a,,,Have you tested Positive for COVID-19 in the last 30 days?,true,"1, Yes; 2, No",,,,,,,Consent,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"testing eligibility,covid,positive,day"
29793-consent_location,Site visit eligibility,categorical,3d375bc5beb3b7c6abcae0e409ac5fddb41de8a9a370ccfc2a27abafba85af9bf2979924423c8c0e77eb09eab9747f52773b3744ae8ac003d61f39e9c97690d5,,,"Will you be within the greater Richmond, VA area for the next 10 days?",true,"1, Yes; 2, No",,,,,,,Consent,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"va area,day,site visit,great richmond"
29794-consent_noeligble,"Ineligible, research follow-up opt-in",categorical,5356169e4826b493ea4b5ce43c8abe445d1bf90bf26d435073c9631d574efde675beee1d19eb4fc249175c5f3ee933dd9e2d86e37ed1644ae0f9a2227805c74b,,,Based on the responses you have provided you are not eligible to be in this study. Would you like to be contacted for future research studies?,true,"1, Please contact me for future research studies.; 2, Please do not contact me for future research studies.",,,,,,,Consent,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"future research study,opt,research,study,response"
29826-storage_permission,Storage permission,categorical,ab918ae5968e3dafd2d0cfaf59edb99e4f10e288b1e4a62d0fdf015abb2123f7bd636612d5b5b5cbc6d43caa4fdcee2d57b70ded954c57da357abad14aa4ede0,,,I agree that my data may be stored and used for future research as described earlier.,true,"1, Yes; 2, No",,,,,,,Consent,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"storage permission,future research,datum"
29829-consent,Consent/Agreement by participant,categorical,f67c43c8c05249d8949e7742ce0d12213858646ec397e84de169dfc977dd74a2b2661a16b706f7023d817a7f680246f6c33846af1c1e410f8fec44bff3d4b2ac,,,"If you select the ""Yes, I consent/agree to participate..."" option then you are indicating the following: You have read and you understand this consent and any questions you may have had were answered to your satisfaction. You freely consent to participate in this study and give your permission to have your data used as described in this consent.",true,"1, YES, I consent/agree to participate in the COVID-CARE study and give the VCU my permission to use my data as described in this consent.; 2, NO, I decline to participate in the COVID-CARE study.",,,,,,,Consent,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"permission,datum,study,participant,agreement,question,consent"
29858-shipping_placement,Where should at-home test kits be left for the participant,categorical,6cad842190bf6511bf95e1b15cee9bba41a79764c590b5768ce6291a7ae8eb246ec4010ffc77ac082a6a6eae74d8359eab9c8010b6bfbf4c7b20265e47d59321,,,Where should we leave the kit? (Please wear a mask if you plan to meet the delivery driver),true,"1, At my front door; 2, With a front desk; 3, Call me when you get here; 4, Other",,,,,,,Confirm Your Shipping Address,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"home test kit,mask,delivery driver,kit,participant"
29871-kitreceived_response,Participant confirmation of kit possession,categorical,a6063cc91a8e678bacc7527cf44d8846f77b3139524e9443fff9219192757b70a425b201ef995ba28dc8b8e20b9101e2fcfddf73825c0cbfe168a62bfb4a3a53,,,Please confirm when you have received your kit. You can return to this page at any time.,true,"1, Yes, I received the kit; 2, No, still waiting to receive the kit",,,,,,,I Received My Testing Kit,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"participant confirmation,kit,time,kit possession,page"
29889-kit_date_deid,Number of days from day of Consent when Participant received the at-home test kits,integer,92dd5f28e412f51d031180f4a50a8f786f1c8491fc8a4b4fc7b69ac98c29a10435f2d41254e35cb07e1859a249bcbb82b5242bf3fbad3e668421f453a2f2fd2b,,,Please confirm the date you received the test kit.,true,De-identified Value in Days,,,,days,,,I Received My Testing Kit,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"home test kit,test kit,date,participant,consent,day"
30072-household,Participant housing/living conditions,categorical,1f3ff4b6ed4b2b294d858e4c6bb2a4b0f840747f2c766f9eddf50283fe0c3b87b2fcaa110f9275d723ab53e5b4b2b22c74f5cfe601087d03086a966e210ad5d4,,,How would you describe your current household/living arrangements?,true,"1, House or single family home; 9, Townhome or Duplex; 2, High-rise apartment/condo building (Your front door is not exposed to the outside); 3, Garden-style apartment/condo (Your front door is exposed to the outside); 4, Nursing home or assisted living facility; 5, Mobile home; 6, Group home or rehab facility; 11, Military Base; 10, Homeless or Transient; 7, Other; 999, Prefer not to answer",,,,,,,About You,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"participant housing,current household,arrangement,live condition"
30075-other_household,Total number of other people living in participant's home,categorical,b7d40e64b5bea7841566fa0021ef21f3468f07bd76c3a91f5ac5d353b3fbc6b8f6a12dfb0b5e76a2b4bc0e0e950526772402d619bb4e37fe197d962be06d54ee,,,"How many people, other than you, live in the same household with you?

Please enter the number below.",true,"1, Just Myself; 2, 1; 3, 2; 4, 3; 5, 4; 6, Other (5 or more); 999, Prefer not to answer",,,,,,,About You,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"people,number,home,household,participant,total number"
30081-general_health,General Health Response,categorical,6bc41717cca3abc3e07606bfc2c046d5f1238904efca32e708133db46ccedbef3667517d7bd2cb0629eb3327f8ae41f7b553817b41a964af02e53976bf719517,,,How would you rate your general health?,true,"1, Excellent; 2, Very good; 3, Good; 4, Fair; 5, Poor; 999, Prefer not to answer",,,,,,Health Status,About You,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"general health response,general health"
30082-race-1,Race selected; White,categorical,b7cd8a98a723b5571301f128fefbeb9f2fcf73d5f781f2671b4df4a2b8c68d4b2d9909293b31c9a9b039af61d02808f896121abaf82b71db6a769053c7b3bfd7,,,What is your race? White,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,Race,About You,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,race
30082-race-2,Race selected; Black or African American,categorical,cf45b77a29aaf1e3ca935e413c9a09b70276b6a6c795ab91d3b07f5f84c25601d43888a535ab3f2f35e303a4a925619de110697ca967113fc168f53b3cebc50b,,,What is your race? Black or African American,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,Race,About You,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,race
30082-race-3,Race selected; Asian,categorical,530881f5cc95bacf31cd10bbb834e4e6b442ad716742d9aa2b9dd371bad4c9c5afdeb887a1b3654105482540b082ae3e14711b30d791bcdf210ea314e5d55552,,,What is your race? Asian,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,Race,About You,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,race
30082-race-4,Race selected; American Indian or Alaska Native,categorical,31459f3c868297c5c7a75cf81e2ae9352f24869b6e69bf1ef0fa245a04259eafc467ccd79a21e7af57d4e468b7c7efda31062e3435a3a0b0783ae6ff39c0b452,,,What is your race? American Indian or Alaska Native,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,Race,About You,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"american indian,race,alaska native"
30082-race-5,Race selected; Native Hawaiian or Other Pacific Islander,categorical,00f4c9ebf8333fdf34941e2293cbdb9e8c52d5712fba516594e122ecb1f455f6342a8ca46531cec45b6d0a334708a1a8d571f92740b3aff5155ea47ff6667e30,,,What is your race? Native Hawaiian or Other Pacific Islander,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,Race,About You,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"native hawaiian,race,pacific islander"
30082-race-6,Race selected; Other,categorical,d71a3affcedecf68f16b069c1520507c28fc40b3b0ec06df043050dd3831402b119288e697e0b2e847b94c8d20672d358b9b776780c65375fc1815ecd70623fc,,,What is your race? Other,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,Race,About You,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,race
30082-race-998,Race selected; None of the above,categorical,5669d0fe3536ad0c65843a1d0015a4da049ee9ac4bd76ee6f0c4063bc5f7453544e99426a78df0b162ebdb3a88611607523dd3f57b4e8204d56d931546e4f911,,,What is your race? None of the above,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,Race,About You,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,race
30082-race-999,Race selected; Prefer not to answer,categorical,94df96113672b3c3f3f48198cea9e4feebd38e96290350727c234f60e235579432d79123c20478e01d833fab9546b24af6e0825ef0943c79982bf017ec5f83aa,,,What is your race? Prefer not to answer,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,Race,About You,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,race
30085-ethnicity,Ethnicity,categorical,255e77e6380957f21d1b20f541f53bdcfc4a77cf0b940f26972e083afdd8c3bd8c526639c5397aa0cc0f3fd5e8def549e3e9a3cc5a7aab90dc7dd06042d5b1dd,,,What is your ethnicity?,true,"1, Hispanic or Latino; 2, Non-Hispanic or Latino; 3, Unknown; 999, Prefer not to answer",,,,,,Ethnicity,About You,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,ethnicity
30086-gender-1,Gender identity selected; Man,categorical,0d13bbde15f6e617621de326e2d20a4b33b545209bcb2a9b9b46d28e93bbd09426d19c946aaa8aaf6bf989424c7169039993a00aa58600eafcd59d45a8e6e75b,,,What terms best express how you describe your gender identity? Man,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,,About You,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"term,gender identity"
30086-gender-2,Gender identity selected; Woman,categorical,1790d68ce078396356dfec9d3b1d37d789e4c66bf880c43ff0e11f6483b5529586f7a3cf9f963db3e6818ec3ec63437141935e18b4da66ed0b6c98e187a8f8e3,,,What terms best express how you describe your gender identity? Woman,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,,About You,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"term,woman,gender identity"
30086-gender-3,Gender identity selected; Non-Binary,categorical,5d139d52356c154d70b7bc7131523d96aa2d3fae8843d76d55d35eb0c45cec6acf740d62472a32298148e2a166c5e63c8fa21c5af51709f6b6e02d2a942c6946,,,What terms best express how you describe your gender identity? Non-Binary,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,,About You,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"term,gender identity"
30086-gender-5,Gender identity selected; Transgender,categorical,f8b970d6840326cd71932860a1b267403396c3e23af763850490bab5d19f9315d5406019e9bb2c50afb53717e11c7e81610a25194f290996aa9305ce36dc5825,,,What terms best express how you describe your gender identity? Transgender,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,,About You,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"term,transgender,gender identity"
30086-gender-999,Gender identity selected; Prefer not to answer,categorical,37c6e9ae98ceefdec42588a222526f5569b0be8fccc73dfa1b5c0000621ab3b82505540eab6a757b6920ef73cb4d120cfaf52d89849612aadc0a65432128e3e0,,,What terms best express how you describe your gender identity? Prefer not to answer,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,,About You,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"term,gender identity"
30090-birthsex,Sex at Birth,categorical,a6eb96c69c5cdfabe6e1abba224f24171c727b37b9aafc09a740792391dd2cdb7f834836c0380aad5d33d5c79f68ff69e47d8648123e2aadb44e73b3eecd10c8,,,What was your biological sex assigned at birth?,true,"1, Female; 2, Male; 7, Other; 999, Prefer not to answer",,,,,,Sex,About You,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"birth,biological sex,sex"
30091-education,Education Reached,categorical,cd646510a69dc80f1918c3150f2ce4c1e986b91f3847e17f35a28b00006b869e19d0b8c08e40cea052529bcefb3398dbf4e9cad3c702dc99cb7dee6311884e79,,,What is the highest grade or year of school you completed?,true,"1, Never attended school or only attended kindergarten; 2, Grades 1 through 4 (Primary); 3, Grades 5 through 8 (Middle school); 4, Grades 9 through 11 (Some high school); 5, Grade 12 or GED (High school graduate); 6, 1 to 3 years after high school (Some college, Associate's degree, or technical school); 7, College 4 years or more (College graduate); 8, Advanced degree (Master's, Doctorate, etc.); 999, Prefer not to answer",,,,,,Education,About You,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"year,high grade,school,education"
30097-height_options,Unable to provide height,categorical,c24b032e96d35386af43d0897a75ca737f3e41327c16fbbe3e556072931c4d8e03d6dbfaceef1045207a55224e55c9866b70561e10fba150d6a643a03ab306e8,,,"Please provide a selection, if you are unable to provide your current height:",false,"1, I don't know; 2, Prefer not to answer",,,,,,,About You,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"current height,selection,height"
30100-weight_options,Unable to provide weight,categorical,553e36446785ea1bca6310a60d09e71de0af21a8bfa437fc2939a9cbd840493515b5420e3ead0b2ccd3ac052ab886704206a0c051a275fa8727b99be9d74ece2,,,"Please provide a selection, if you are unable to provide your current weight:",false,"1, I don't know; 2, Prefer not to answer",,,,,,,About You,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"weight,selection,current weight"
30101-ace_medication,ACE medication details,categorical,ce54a14e72004d865bb2396a20e4ca649925649b6b066f757c148d44be07df7e48768bf01fd826868fbb5071c0afd1008d54187375c6d6f03f85b42574ae64d4,,,"Are you taking any ACE Inhibitor medications (such as Benazepril, Captopril, Enalapril, Fosinopril, Lisinopril, Moexipril, etc.)?",true,"1, No; 2, Yes; 999, Prefer not to answer",,,,,,,About You,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"ace medication detail,fosinopril,ace inhibitor medication,lisinopril,benazepril,enalapril"
30102-blood_type,Blood Type,categorical,cc088a5e21bd19b88c2b21059361dbe5e3d2f33beff167c11e0af94a99233226ab476824a61aea541a908d944d7b5bc3245554f07bef05170c73f90c53ebe1ea,,,What is your blood type?,true,"1, O; 2, A; 3, B; 4, AB; 5, Don't know; 999, Prefer not to answer",,,,,,,About You,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,blood type
30103-conditionsrisks-10,Following underlying conditions or risk factors selected;Current substance use,categorical,a86dd4f94b69e67ba5092d4209636b0563b90a784bab9e142ae34580e527dfa820f78083ba5ab71f6ac4a4117970393f47a9306c1d0f7e5a2cc904b714e0b99b,,,Do you have any of the following underlying conditions or risk factors? Current substance use,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,,About You,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"condition,risk factor,current substance use"
30103-conditionsrisks-13,"Following underlying conditions or risk factors selected;Mental Health conditions, including serious mental illness",categorical,42023c1f538f9dfd78ea47505ac57cf346d5caea82ac12364940a680e526a9e6e26c3da83a1937ded256370acccd4fb992f6e009e5275000dc6d8ad529b533dc,,,"Do you have any of the following underlying conditions or risk factors? Mental Health conditions, including serious mental illness",true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,Medical History,About You,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"mental health condition,health condition,condition,risk factor,mental illness"
30103-conditionsrisks-14,Following underlying conditions or risk factors selected; Asthma,categorical,1196fa8ddd2c43e86dfa362dd81147daa7402d87b43a0aaba8931ffe1c10a5af499c232885569593d308a0138de007bb2614b3f378dc97819e4ec61604017937,,,Do you have any of the following underlying conditions or risk factors? Asthma,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,Medical History,About You,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"asthma,risk factor,condition"
