Digest (variable_name|source_file|source_directory),variable_name,description,datatype,survey_name,survey_version,label,required,value_constraints,Channel,seeAlso,question_id,units,unique,CDE,form_name,section_header,ui,field_note,pattern,min,max,branching_logic,Custom Alignment,Matrix Group Name,CDE Reference,Value Set,Dependent Fields,source_file,source_directory,categories,related_group,matches
781adc5910d38ba1bba85736542767b08280b8f28807d39997b639c74748b7f8c84f1eb9504e9d06ec5f79ed21cd8a7971b7b96ede3e75902565605e50817feb,30132-covid_tested30,"Last 30 days, COVID Tested Status",categorical,,,"In the past 30 days (outside of this research study) have you been tested for the coronavirus, and if so, what was the result of your most recent test?",TRUE,"1, No, I have not been tested; 2, Yes, and I tested positive; 3, Yes, and I tested negative; 4, Yes, and my results were inconclusive; 5, Yes, and my results are still pending; 999, Prefer not to answer",,,,,,,Symptom Screening,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"day,result,covid,research study,coronavirus,status,recent test",group0,"344556,0.72"
cea4b08da8d9ee990c67ac81910c6988e0d7f78e891ae5c924239bd5603c89912eb2d4ea1524f05b402094269ad87cf8f56e6b5a9682fabb39fde0eebca0ed7a,29792-consent_covid+,COVID related testing eligibility,categorical,,,Have you tested Positive for COVID-19 in the last 30 days?,TRUE,"1, Yes; 2, No",,,,,,,Consent,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"covid,testing eligibility,day,positive",group0,"344556,0.71"
0833cea70599452dd07979b2e8fff8e4251ab2c7879df5befc3f3bd5e9e65893fc64a462584a3cd30f37710718d01ab5fc18182e042362b818c4d7d22c108239,30144-flu_result,Last 30 Days FLU Tested Results,categorical,,,"In the past 30 days, have you been tested for the flu, and if so, what was the result of your most recent test?",TRUE,"1, No, I have not been tested; 2, Yes, and I tested positive; 3, Yes, and I tested negative; 4, Yes, and my results were inconclusive; 5, Yes, and my results are still pending; 999, Prefer not to answer",,,,,,,Symptom Screening,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"day,day flu,result,flu,recent test",group0,"344556,0.71"
9b759f70208460ac44ccd0f0d08330f855beb8a3555f79f59b3dcb072ce086a1aac427084c05079979b0acef210524e5445fdc1439668156c512a9dec3344556,covid_tested_30,,,,,Have you been tested for COVID-19 in the last 30 days?,,"1, Yes | 0, No | 98, Don't know | 99, Prefer not to answer",,,,,,,tier2_testing,Tier 2 Covid,radio,,,,,,RV,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,day,group0,"817feb,0.72;a0ed7a,0.71;108239,0.71"
73dd5d785a359c0c2508a3e27040d7dd96e32413f36284e6a2d88c3e51e7a324d8f1f9298af77f86a20e15a4bc55e91a116da4d6458eb4cf710ffb94722e6537,n_cig,Smoking per day,text,,,"If you smoke every day, on average, how many cigarettes per day do you smoke? ",,,,,,,,,,,,,,,,,,,,,,Demographics_and_Clinical.csv,RADx-DHT,"cigarette,day",group1,"6a9b85,0.96"
e6a31faa1ad3edfbb18005d614abc19bbb801064b601df35031994f5c1def0f90e77dc4e083a1ecf46becc095a483f8c6e54b91c7a2003f696bd351dd90715a8,tobacco_day,,float,Your Smoking History,3,"On average, how many cigar, cigarillo, or tobacco product (other than cigarettes) per day have you smoked in the past 30 days (use 1 if less than one)?",FALSE,Float,,,,,,,,,,,,,,,,,,,,survey_data_dictionary_origcopy.csv - Your Smoking History.csv,RADx-DHT,"cigar,cigarette,tobacco product,day",group1,"6a9b85,0.75"
a92653b9a7fd7d099dbbba675ee1ba07f3fbbb125d65c761298bb411c10daef205db0b7ac29f5cbbbaff8906e80258f81524f3396f00fe5b23b6b6e72eae86ea,how_often_do_you_smoke_cigarettes,How often do you smoke cigarettes?,text,,,,,"[""some_days"",""rarely"",""not_at_all"",""i_don_t_know"",""i_prefer_not_to_answer"",""every_day""]",,,,,,,,,,,,,,,,,,,,survey__baseline_survey_origcopy.csv,RADx-DHT,cigarette,group1,"6a9b85,0.79"
a70c3e1dd00d6986be916f03e7f524b66b1d77002c82058b5bf6f7026590566337af46002d5988748fb77bc0c83cc8314aa742cdfa3f9e3367798e92d36a9b85,smoker_number,PX30604 |https://www.phenxtoolkit.org/protocols/view/30604|to https://www.cdc.gov/brfss/questionnaires/pdf-ques/2019-BRFSS-Questionnaire-508.pdf C09.01,,,,"If you smoke every day, on average, how many cigarettes per day do you smoke? ",,,,,,,,,alcohol_and_tobacco,Alcohol and Tobacco/Nicotine Use,text,,number,1,80,[smoker_cur_stat] ='4',,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,"cigarette,protocol,day",group1,"2e6537,0.96;0715a8,0.75;ae86ea,0.79;edeeed,0.93;599470,0.82"
9586f964d63d247e8143333da43ca86fc1993110b74032587c9ec206f7405d376a7a0607906ceffd89cf8741903179e419ba0baf2304bf6b9ef51d9b8bedeeed,on_average_how_many_cigarettes_per_day_do_you_smoke,"On average, how many cigarettes per day do you smoke?",text,,,,,"[""1"",""7"",""10"",""11"",""22"",""27"",""31"",""5"",""6"",""8"",""9"",""12"",""13"",""15"",""16"",""17"",""18"",""19"",""23"",""24"",""25"",""29"",""30"",""32"",""33"",""34"",""37"",""40"",""2"",""3"",""4"",""14"",""20"",""21"",""26"",""28"",""35"",""36"",""39"",""38""]",,,,,,,,,,,,,,,,,,,,survey__baseline_survey_origcopy.csv,RADx-DHT,"cigarette,day",group1,"6a9b85,0.93"
438de13fbc943b1e5537f93cd99aed29b426c9734f70f9e67f003e4ee138c8d9883d783f509eb7f7741c650cc267df066a602352dbfa6b81cc0e213dcf599470,cig_day,,float,Your Smoking History,3,"On average, how many cigarettes per day have you smoked in the past 30 days (use 1 if less than one)",FALSE,,,,,,,,,,,,,,,,,,,,,survey_data_dictionary_origcopy.csv - Your Smoking History.csv,RADx-DHT,"cigarette,day",group1,"6a9b85,0.82"
