variable_name,description,datatype,survey_name,survey_version,label,required,value_constraints,Channel,seeAlso,question_id,units,unique,CDE,form_name,section_header,ui,field_note,min,max,branching_logic,Custom Alignment,Matrix Group Name,CDE Reference,Value Set,Dependent Fields,source_file,source_directory,categories,related_group
consent_given,,,,,Is consent required for this study?,,"1,Yes, consent is required for this study| 0, No, Consent is not required/is waived for this study",,,,,,,consent,Consent,radio,,,,,,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,"consent,study",group0
consent,Consent to participate in the study. ,categorical,,,,,Agree; Disagree,,,,,,,,,,,,,,,,,,,NIH_CD_DD_origcopy.csv,RADx-DHT,"consent,study",group0
covid_test_result_raw,From RADx-UP Testing Core,,,,Raw test result (if not a Positive/Negative/Failed report),,,,,,,,,covid_test,Accessibility to testing,text,,,,,,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,"negative,raw test result,test core,report,radx,positive",group1
covid_test_result_raw,,,,,Raw test result (if not a Positive/Negative/Failed report),,,,,,,,,,Covid Testing,text,,,,,,,RADx-UP Testing Core,,,RADxrad_COVID_Testing_Data_Elements_v000.xlsx [RADxrad_COVID_Testing_Data_Elem].csv,RADx-rad,"report,negative,positive,raw test result",group1
recentresult_covidtest,PX570201,,,,What was the result of your most recent COVID-19 test?,,"1, Negative | 2, Positive | 3, Never obtained results | 4, Indeterminate | 98, Don't know | 99, Prefer not to answer",,,,,,,testing,Tested positive for COVID-19,radio,,,,"[tested_for_covid] = ""1""",,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,"result,px570201",group2
covid_tested_30,,,,,Have you been tested for COVID-19 in the last 30 days?,,"1, Yes | 0, No | 98, Don't know | 99, Prefer not to answer",,,,,,,tier2_testing,Tier 2 Covid,radio,,,,,RV,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,day,group2
30132-covid_tested30,"Last 30 days, COVID Tested Status",categorical,,,"In the past 30 days (outside of this research study) have you been tested for the coronavirus, and if so, what was the result of your most recent test?",TRUE,"1, No, I have not been tested; 2, Yes, and I tested positive; 3, Yes, and I tested negative; 4, Yes, and my results were inconclusive; 5, Yes, and my results are still pending; 999, Prefer not to answer",,,,,,,Symptom Screening,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"covid,research study,recent test,result,status,coronavirus,day",group2
income_change,,select one,Monthly COVID-19 Citizen Science Survey,4,Has your income changed in the past 30 days?,TRUE,"Yes, it has increased;Yes it has declined;No, it is about the same;Prefer not to state",,,,,,,,,,,,,,,,,,,survey_data_dictionary_origcopy.csv - Monthly COVID-19 Citizen Science Survey.csv,RADx-DHT,"day,income",group2
30135-covid_result,"Last 30 days, COVID Tested Results",categorical,,,What kind of COVID-19 test did you have?,TRUE,"1, Home-based test (please provide name); 2, Lab-administered diagnostic PCR test; 3, Lab-administered diagnostic antigen test; 4, Lab-administered antibody test; 5, Lab-administered test, unsure of type; 999, Prefer not to answer",,,,,,,Symptom Screening,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"covid,result,kind,day",group2
ends_meet,,select one,Monthly COVID-19 Citizen Science Survey,4,Did you have difficulty making ends meet over the past 30 days?,TRUE,Frequently;Occasionally;Hardly ever;Never;Don’t know;Prefer not to state,,,,,,,,,,,,,,,,,,,survey_data_dictionary_origcopy.csv - Monthly COVID-19 Citizen Science Survey.csv,RADx-DHT,"end,day,difficulty",group2
30144-flu_result,Last 30 Days FLU Tested Results,categorical,,,"In the past 30 days, have you been tested for the flu, and if so, what was the result of your most recent test?",TRUE,"1, No, I have not been tested; 2, Yes, and I tested positive; 3, Yes, and I tested negative; 4, Yes, and my results were inconclusive; 5, Yes, and my results are still pending; 999, Prefer not to answer",,,,,,,Symptom Screening,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"flu,recent test,result,day flu,day",group2
cov_tst_mthd_2,,,,,How were you tested for your most recent test? ,,"1,Nasal Swab|2,Throat Swab|3, Blood Sample|4, Saliva|99, Prefer not to answer",,,,,,,testing,Tested positive for COVID-19,radio,,,,"[tested_for_covid] = ""1""",,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,recent test,group2
unemployed,,select one,Monthly COVID-19 Citizen Science Survey,4,"In the past 30 days, have you been unemployed?",TRUE,Yes;No;Prefer not to state,,,,,,,,,,,,,,,,,,,survey_data_dictionary_origcopy.csv - Monthly COVID-19 Citizen Science Survey.csv,RADx-DHT,day,group2
29792-consent_covid+,COVID related testing eligibility,categorical,,,Have you tested Positive for COVID-19 in the last 30 days?,TRUE,"1, Yes; 2, No",,,,,,,Consent,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"covid,positive,testing eligibility,day",group2
n_cig,Smoking per day,text,,,"If you smoke every day, on average, how many cigarettes per day do you smoke? ",,,,,,,,,,,,,,,,,,,,,Demographics_and_Clinical.csv,RADx-DHT,"day,cigarette",group3
cig_day,,float,Your Smoking History,3,"On average, how many cigarettes per day have you smoked in the past 30 days (use 1 if less than one)",FALSE,,,,,,,,,,,,,,,,,,,,survey_data_dictionary_origcopy.csv - Your Smoking History.csv,RADx-DHT,"day,cigarette",group3
