variable_name,description,datatype,survey_name,survey_version,label,required,value_constraints,Channel,seeAlso,question_id,units,unique,CDE,form_name,section_header,ui,field_note,min,max,branching_logic,Custom Alignment,Matrix Group Name,CDE Reference,Value Set,Dependent Fields,source_file,source_directory,categories
29789-consent_18yrs,Eligibility age of 18 or older,categorical,,,How old are you?,true,"1, I am 18 or older; 2, I am under the age of 18",,,,,,,Consent,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,old
29790-consent_applies,COVID related eligibility,categorical,,,Which of the following statements below best applies to you?,true,"1, I know I have recently been exposed to COVID-19 (in the last 14 days) or I am COVID Positive; 2, I have COVID-19 symptoms (things like sore throat, fever, cough, loss of smell or taste) or I am COVID Positive; 3, I have not been exposed to COVID-19 and I do not have any COVID-19 symptoms; 4, None of these descriptions apply to me",,,,,,,Consent,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"good apply,follow statement"
29791-consent_english,English eligibility,categorical,,,Are you able to provide written consent in English?,true,"1, Yes; 2, No",,,,,,,Consent,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"provide write consent,able,english"
29792-consent_covid+,COVID related testing eligibility,categorical,,,Have you tested Positive for COVID-19 in the last 30 days?,true,"1, Yes; 2, No",,,,,,,Consent,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"30 day,covid,19,test positive"
29793-consent_location,Site visit eligibility,categorical,,,"Will you be within the greater Richmond, VA area for the next 10 days?",true,"1, Yes; 2, No",,,,,,,Consent,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"va area,,10 day,great richmond"
29794-consent_noeligble,"Ineligible, research follow-up opt-in",categorical,,,Based on the responses you have provided you are not eligible to be in this study. Would you like to be contacted for future research studies?,true,"1, Please contact me for future research studies.; 2, Please do not contact me for future research studies.",,,,,,,Consent,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,",contact,provide,response,base,eligible,study,future research study,like"
29826-storage_permission,Storage permission,categorical,,,I agree that my data may be stored and used for future research as described earlier.,true,"1, Yes; 2, No",,,,,,,Consent,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"describe early,datum,use,agree,future research,store"
29829-consent,Consent/Agreement by participant,categorical,,,"If you select the ""Yes, I consent/agree to participate..."" option then you are indicating the following: You have read and you understand this consent and any questions you may have had were answered to your satisfaction. You freely consent to participate in this study and give your permission to have your data used as described in this consent.",true,"1, YES, I consent/agree to participate in the COVID-CARE study and give the VCU my permission to use my data as described in this consent.; 2, NO, I decline to participate in the COVID-CARE study.",,,,,,,Consent,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,",yes,understand,participate ... option,study,describe,consent,participate,read,datum use,freely consent,select,permission,indicate,answer,question,follow,satisfaction,agree"
29858-shipping_placement,Where should at-home test kits be left for the participant,categorical,,,Where should we leave the kit? (Please wear a mask if you plan to meet the delivery driver),true,"1, At my front door; 2, With a front desk; 3, Call me when you get here; 4, Other",,,,,,,Confirm Your Shipping Address,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"meet,wear,delivery driver,plan,kit,leave,mask"
29871-kitreceived_response,Participant confirmation of kit possession,categorical,,,Please confirm when you have received your kit. You can return to this page at any time.,true,"1, Yes, I received the kit; 2, No, still waiting to receive the kit",,,,,,,I Received My Testing Kit,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"return,page,confirm,time,kit,receive"
